business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Singha Silver House,Silver Jewellery Shop,Jewelry store,Jewelry store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 84207 78844,N/A,4.5,,"Gobinda Chatterjee Road, near Swarno Samity, Champadali, Horitala, Barasat, Kolkata, West Bengal 700124","Champadali, Horitala, Barasat",22.7192883,88.482852,ChIJU9nXTmOZ-DkRncDqaaS322M,https://www.google.com/maps/place/?q=place_id:ChIJU9nXTmOZ-DkRncDqaaS322M,part_315,2026-09-20 20:16:59,1129
Inaaraa: Silver Jewellery Studio,Silver Jewellery Shop,Jewelry store,Jewelry store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 70030 98348,http://www.inaaraa.in/,5.0,,"Hridaypur, Barasat, West Bengal 700127",Hridaypur,22.7138804,88.469115,ChIJMazBLOSZ-DkRQrTVF3fCesY,https://www.google.com/maps/place/?q=place_id:ChIJMazBLOSZ-DkRQrTVF3fCesY,part_315,2026-09-20 20:16:59,1130
Biswakarma Jewellery Shilpalaya,Silver Jewellery Shop,Jewelry store,"Jewelry store, Goldsmith, Jeweler, Jewelry manufacturer, Jewelry repair service",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 33 2542 2242,https://biswakarmagold.com/,4.8,,"Near Tarekswar Mishtanno Bhander, Krishnanagar Rd, near Subhash Maidan, Barasat, West Bengal 700126",Barasat,22.7215509,88.4777817,ChIJIzJCYOKZ-DkR2jnSElgXfLA,https://www.google.com/maps/place/?q=place_id:ChIJIzJCYOKZ-DkR2jnSElgXfLA,part_315,2026-09-20 20:16:59,1131
GIVA Silver & Gold Jewellery | Madhyamgram | Lab Grown Diamonds,Silver Jewellery Shop,Jewelry store,"Jewelry store, Diamond Merchant, Goldsmith, Jeweler, Jewelry repair service, Silversmith",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 83101 90496,https://www.giva.co/?utm_source=Google&utm_medium=GMB,4.8,,"gate no, 1, Sodepur Rd, Bijoynagar, Giva Madhyamgram, East, Kolkata, West Bengal 700129","Bijoynagar, Giva Madhyamgram, East",22.6931282,88.46240569999999,ChIJBTMRb6Kf-DkRopxJ5eKqnrw,https://www.google.com/maps/place/?q=place_id:ChIJBTMRb6Kf-DkRopxJ5eKqnrw,part_315,2026-09-20 20:16:59,1132
Pranvee,Silver Jewellery Shop,Jewelry store,Jewelry store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 90733 86555,https://pranvee.com/,4.9,,"Nabapally Circular Rd, Barasat, West Bengal 700126",Barasat,22.723004,88.47043409999999,ChIJB85BMumZ-DkRxu6wy80Sb00,https://www.google.com/maps/place/?q=place_id:ChIJB85BMumZ-DkRxu6wy80Sb00,part_315,2026-09-20 20:16:59,1133
Dey Gold & Silver Gallery,Silver Jewellery Shop,Jewelry store,Jewelry store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 91633 26687,https://www.facebook.com/share/1GRiznXsYn/?mibextid=wwXIfr,,,"choto bazar post, ps, Surendranath Colony, Chkravartipara, Nabapally, Kolkata, West Bengal 700126","Surendranath Colony, Chkravartipara, Nabapally",22.724976899999998,88.4726822,ChIJSTw5PwCZ-DkRZb1DHDrkePg,https://www.google.com/maps/place/?q=place_id:ChIJSTw5PwCZ-DkRZb1DHDrkePg,part_315,2026-09-20 20:16:59,1134
Karmakar & Sons Jewellers,Silver Jewellery Shop,Jeweler,Jeweler,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98306 70774,N/A,4.2,,"Hridaypur Station Rd, Madhyamgram, Kolkata, West Bengal 700127",Madhyamgram,22.709677,88.470434,ChIJq5bQ6qyY-DkRmq8EP6P-5rs,https://www.google.com/maps/place/?q=place_id:ChIJq5bQ6qyY-DkRmq8EP6P-5rs,part_315,2026-09-20 20:16:59,1135
Purnima Jewellers,Silver Jewellery Shop,Jewelry store,"Jewelry store, Jeweler",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 94337 96090,https://purnimajewellers.in/,4.8,,"Harinath Sen Rd, Dakshinpara, Barowaritola, Barasat, Kolkata, West Bengal 700124","Dakshinpara, Barowaritola, Barasat",22.710937899999998,88.4785464,ChIJR6SoYqqY-DkRI53aW9qBMqo,https://www.google.com/maps/place/?q=place_id:ChIJR6SoYqqY-DkRI53aW9qBMqo,part_315,2026-09-20 20:16:59,1136
Karukanchan Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,N/A,4.8,,"Ac Market, Dak Bunglow More, Barowaritola, Barasat, Kolkata, West Bengal 700124","Barowaritola, Barasat",22.7107672,88.47569829999999,ChIJzeRilSSi-DkRhKwItWxWas4,https://www.google.com/maps/place/?q=place_id:ChIJzeRilSSi-DkRhKwItWxWas4,part_315,2026-09-20 20:16:59,1137
K K Gems & Jewellers | Leading 925 Silver Jewelry Wholesaler & Manufacturer,Silver Jewellery Shop,Wholesale jeweler,"Wholesale jeweler, Jeweler, Jewelry manufacturer",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 89617 13483,https://www.kkgemsandjewellers.in/,4.9,14.0,"1st Floor, 18, Hanspukur 1st Ln, Laxmi Plaza Market, Near Tiwari Brothers, Bara Bazar, Jorasanko, Kolkata, West Bengal 700007","Laxmi Plaza Market, Near Tiwari Brothers, Bara Bazar, Jorasanko",22.583119699999997,88.35586169999999,ChIJAeAqNBt3AjoR8s00rk8zM0k,https://www.google.com/maps/place/?q=place_id:ChIJAeAqNBt3AjoR8s00rk8zM0k,part_315,2026-09-20 20:17:01,1138
Silver Zone Silver Jewellery Shop In Kolkata,Silver Jewellery Shop,Jeweler,"Jeweler, Antique store, Jewelry store",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 93392 37122,http://www.facebook.com/szkolkata,5.0,260.0,"Second Floor, Shop No: 259 Building, Emami Market, No: 3, Lord Sinha Road, Elgin, Kolkata, West Bengal 700071",Elgin,22.5435862,88.3487523,ChIJGbCEhRZ3AjoREiZdFwsGm9I,https://www.google.com/maps/place/?q=place_id:ChIJGbCEhRZ3AjoREiZdFwsGm9I,part_315,2026-09-20 20:17:01,1139
Shridhi Jewels LLP | Trusted wholesaler and manufacturer | 925 Silver Jewellery | Imported Jewellery | Kolkata Jewellery,Silver Jewellery Shop,Wholesale jeweler,Wholesale jeweler,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 81001 78459,N/A,4.8,119.0,"1st Floor, 177/B, Chittaranjan Ave, opposite Ram Mandir, Raja Katra, Singhi Bagan, Jorasanko, Kolkata, West Bengal 700007","Raja Katra, Singhi Bagan, Jorasanko",22.5832619,88.3617589,ChIJX76k5dp3AjoRa-GElCBrBP4,https://www.google.com/maps/place/?q=place_id:ChIJX76k5dp3AjoRa-GElCBrBP4,part_315,2026-09-20 20:17:01,1140
