business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sonu Crane Service,Crane and Towing Service,Crane service,"Crane service, Construction machine rental service, Crane Dealer and Manufacturer, Crane rental agency, Forklift rental service, Material handling equipment supplier",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 74391 54216,N/A,3.0,,"3rd Floor, k m market, Chowrastha, near by Delhi Road, Housing Estate Colony, Dankuni, West Bengal 712311",Housing Estate Colony,22.6789117,88.3009424,ChIJfT84QhmD-DkRtakBq3kTyCo,https://www.google.com/maps/place/?q=place_id:ChIJfT84QhmD-DkRtakBq3kTyCo,part_318,2026-09-20 20:17:13
Lovely Towing Services – 24/7 Car & Bike Breakdown Assistance,Crane and Towing Service,Towing service,Towing service,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 76860 10176,https://towingservices.co.in/,4.8,,"Belghoria Expy, NDDM Ward No - 26, Alipore, Nimta, Kolkata, North Dumdum, West Bengal 700049","NDDM Ward No - 26, Alipore, Nimta",22.6625242,88.4088637,ChIJ6wNPMPCf-DkRar7YLhYAccY,https://www.google.com/maps/place/?q=place_id:ChIJ6wNPMPCf-DkRar7YLhYAccY,part_318,2026-09-20 20:17:13
Safelift Crane Hiring Pvt Ltd,Crane and Towing Service,Crane service,Crane service,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 91983 00525,https://www.safeliftcranes.com/,3.0,,"Monoharpur, Gobra, Dankuni, West Bengal 712310","Monoharpur, Gobra",22.688108099999997,88.29310009999999,ChIJ-bfFNiOD-DkR37JByClJTNc,https://www.google.com/maps/place/?q=place_id:ChIJ-bfFNiOD-DkR37JByClJTNc,part_318,2026-09-20 20:17:13
MTR (Trucks mechanical services),Crane and Towing Service,Towing service,"Towing service, Mechanic",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 98755 91904,https://mtrtowingassistance.rf.gd/emergency-car-bike-towing-howrah/,5.0,,"NH-6, MOTH BAGAN PO, Salap, Paikandashi, Howrah, West Bengal 711409","Salap, Paikandashi",22.616109299999998,88.27484799999999,ChIJ0RqJF3aD-DkR9RJeWQ8M_sg,https://www.google.com/maps/place/?q=place_id:ChIJ0RqJF3aD-DkR9RJeWQ8M_sg,part_318,2026-09-20 20:17:13
New Shankar Crane Service,Crane and Towing Service,Crane service,"Crane service, Service establishment",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 72958 32028,N/A,5.0,,"New Shankar Crane Service, 712407, India",712407,24.745981,85.8070058,ChIJEeLqERe-ZYURwe59fjXXkpA,https://www.google.com/maps/place/?q=place_id:ChIJEeLqERe-ZYURwe59fjXXkpA,part_318,2026-09-20 20:17:13
Om Sai Break Down Crane Service,Crane and Towing Service,Crane service,"Crane service, Service establishment",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 98910 07292,N/A,4.8,,"Om Sai Break Down Crane Service, 712407, India",712407,28.8173025,76.1181175,ChIJxTGqZFjkDDkRZOtA9ZCWZOg,https://www.google.com/maps/place/?q=place_id:ChIJxTGqZFjkDDkRZOtA9ZCWZOg,part_318,2026-09-20 20:17:13
Crane Car Towing Service,Crane and Towing Service,Towing service,"Towing service, Service establishment",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 98612 53488,N/A,3.0,,"Crane Car Towing Service, 712407, India",712407,28.6456828,77.1970434,ChIJnVs4uN_lDDkRPt05vFXyO7s,https://www.google.com/maps/place/?q=place_id:ChIJnVs4uN_lDDkRPt05vFXyO7s,part_318,2026-09-20 20:17:13
Highway Vehicle Recovery,Crane and Towing Service,Towing service,"Towing service, Service establishment",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,http://www.highwayvehiclerecovery.co.nz/contact.html,4.9,,"Highway Vehicle Recovery, 712407, India",712407,-40.9248354,175.00390869999998,ChIJn14bYROhQG0Rig2e9ucKa8A,https://www.google.com/maps/place/?q=place_id:ChIJn14bYROhQG0Rig2e9ucKa8A,part_318,2026-09-20 20:17:13
Allen's Full Service Towing LLC,Crane and Towing Service,Towing service,"Towing service, Service establishment",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,4.8,,"Allen's Full Service Towing LLC, 712407, India",712407,42.106407999999995,-88.605113,ChIJfwTh-GyoNUYRsCTIULr6iw0,https://www.google.com/maps/place/?q=place_id:ChIJfwTh-GyoNUYRsCTIULr6iw0,part_318,2026-09-20 20:17:13
Expedite Transport And Towing LTD,Crane and Towing Service,Towing service,"Towing service, Service establishment",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,5.0,,"Expedite Transport And Towing LTD, 712407, India",712407,-40.9248354,175.00390869999998,ChIJY8fvI_wnbG0R3e8kz2K0N5U,https://www.google.com/maps/place/?q=place_id:ChIJY8fvI_wnbG0R3e8kz2K0N5U,part_318,2026-09-20 20:17:13
Next Chapter Towing,Crane and Towing Service,Towing service,"Towing service, Service establishment",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,https://nextchaptertowing.com/,5.0,,"Next Chapter Towing, 712407, India",712407,39.9753215,-105.01053209999999,ChIJDQ2EnCzGY00RJfjSyPTw2GE,https://www.google.com/maps/place/?q=place_id:ChIJDQ2EnCzGY00RJfjSyPTw2GE,part_318,2026-09-20 20:17:13
Action Towing,Crane and Towing Service,Towing service,"Towing service, Service establishment",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,5.0,,"Action Towing, 712407, India",712407,53.216826499999996,-105.671746,ChIJq6oOIPh6AVMR7r4CKreUqyA,https://www.google.com/maps/place/?q=place_id:ChIJq6oOIPh6AVMR7r4CKreUqyA,part_318,2026-09-20 20:17:13
Rapid Recovery Trans,Crane and Towing Service,Towing service,"Towing service, Auto wrecker, Service establishment",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,https://rapidrecoverytransport.com/?utm_source=omg-gbp&utm_medium=webclick,5.0,,"Rapid Recovery Trans, 712407, India",712407,34.150605399999996,-118.3731342,ChIJy7hbkYIeaqIRx_7BSOkkxw4,https://www.google.com/maps/place/?q=place_id:ChIJy7hbkYIeaqIRx_7BSOkkxw4,part_318,2026-09-20 20:17:13
Ce Towing LLC,Crane and Towing Service,Transportation service,"Transportation service, Service establishment, Shipping service, Trucking company, Vehicle Shipping Agent",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,https://cetowingllc.com/,5.0,,"Ce Towing LLC, 712407, India",712407,46.423669,-73.1316162,ChIJdwp3EjwSvKMRmZpFZsOWiqA,https://www.google.com/maps/place/?q=place_id:ChIJdwp3EjwSvKMRmZpFZsOWiqA,part_318,2026-09-20 20:17:13
Heaven Towing INC,Crane and Towing Service,Towing service,"Towing service, Service establishment",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,,,"Heaven Towing INC, 712407, India",712407,40.046436,-74.9105015,ChIJx7zFS25LwYkR9UIGMyrxaG8,https://www.google.com/maps/place/?q=place_id:ChIJx7zFS25LwYkR9UIGMyrxaG8,part_318,2026-09-20 20:17:13
Jasa Derek Manado Towing Mobil & Alat berat,Crane and Towing Service,Towing service,"Towing service, Service establishment",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,5.0,,"Jasa Derek Manado Towing Mobil & Alat berat, 712407, India",712407,2.9289109,125.14621439999999,ChIJowfMo-6sxk0RuRDiUgCuNcw,https://www.google.com/maps/place/?q=place_id:ChIJowfMo-6sxk0RuRDiUgCuNcw,part_318,2026-09-20 20:17:13
WiseCars Towing,Crane and Towing Service,Towing service,"Towing service, Service establishment",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,5.0,,"WiseCars Towing, 712407, India",712407,-25.77322,28.167835,ChIJyRZltN3AUmERJGxsJlvMBec,https://www.google.com/maps/place/?q=place_id:ChIJyRZltN3AUmERJGxsJlvMBec,part_318,2026-09-20 20:17:13
