business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
RSR & Associates,Commerce and CA Coaching,Tax consultant,"Tax consultant, Auditor, Chartered accountant, Financial consultant, Insurance agency",713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 86378 31667,https://www.rsrassociates.in/,4.8,39.0,"30, Frazer Avenue, Power House Para, beside Park Nursing Home, Gurudasi Para, Bardhaman, West Bengal 713101","Shyamlal Colony, Gurudasi Para, Khosbagan",23.245558799999998,87.8606903,ChIJVZv4NGpJ-DkRtjelcFzUoGY,https://www.google.com/maps/place/?q=place_id:ChIJVZv4NGpJ-DkRtjelcFzUoGY,part_319,2026-09-20 20:17:16
George Academy,Commerce and CA Coaching,Coaching Center,"Coaching Center, Charter school, Educational institution, English language school, Test preparation center, Training center",713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 79083 85993,https://georgeacademy.org.in/,4.8,283.0,"Chelidanga, Asansol, West Bengal 713304",Chelidanga,23.6904363,86.95815259999999,ChIJKTkEkR4f9zkRQlkFObzCqmA,https://www.google.com/maps/place/?q=place_id:ChIJKTkEkR4f9zkRQlkFObzCqmA,part_319,2026-09-20 20:17:16
BYJU'S Tuition Centre - Kantapukur,Commerce and CA Coaching,Coaching Center,"Coaching Center, Education center, Tutoring service",713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 90090 02000,https://byjus.com/btc/byjus-tuition-centre-kantapukur-bardhaman/?utm_source=GMB&utm_medium=btc-link&utm_campaign=GMB-profile,4.5,36.0,"3rd Floor, V Mart Building, Grand Trunk Rd, Kantapukur, Bardhaman, West Bengal 713104","Kantapukur, Nazrul Pally",23.2537475,87.8603474,ChIJXYa5F4JJ-DkRhCY8iD0TRaw,https://www.google.com/maps/place/?q=place_id:ChIJXYa5F4JJ-DkRhCY8iD0TRaw,part_319,2026-09-20 20:17:16
Sushil Bhakat & Co.,Commerce and CA Coaching,Chartered accountant,Chartered accountant,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 98040 69237,N/A,4.2,10.0,"DD Tiwari Rd, Nutanganj, Raiganj, Bardhaman, West Bengal 713104","Nutanganj, Raiganj",23.2404083,87.84648589999999,ChIJZSf0SCQ2-DkRGCgQJbTfLpI,https://www.google.com/maps/place/?q=place_id:ChIJZSf0SCQ2-DkRGCgQJbTfLpI,part_319,2026-09-20 20:17:16
The University of Burdwan,Commerce and CA Coaching,University,"University, Graduate school, Private university, Public university",713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 342 263 4975,http://www.buruniv.ac.in/,4.1,1477.0,"Burdwan Rajbati, Raiganj, Bardhaman, West Bengal 713102",Raiganj,23.2392585,87.85118349999999,ChIJtxDYKiQ2-DkRV9SMjJ8faQU,https://www.google.com/maps/place/?q=place_id:ChIJtxDYKiQ2-DkRV9SMjJ8faQU,part_319,2026-09-20 20:17:16
R K A A & ASSOCIATES,Commerce and CA Coaching,Chartered accountant,Chartered accountant,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 97494 28807,N/A,5.0,2.0,"N.S.B. Rd, Pandaveswar, Baidyanathpur, West Bengal 713346",713142,23.7162255,87.2731878,ChIJm92OImhq9zkRwfjXiNY6HX4,https://www.google.com/maps/place/?q=place_id:ChIJm92OImhq9zkRwfjXiNY6HX4,part_319,2026-09-20 20:17:16
CA Rishimon Nandy (Chartered Accountant),Commerce and CA Coaching,Chartered accountant,"Chartered accountant, Accountant, Auditor, Financial consultant, Tax consultant, Tax preparation",713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 90642 08656,N/A,4.9,28.0,"512, Baranilpur Rd, Chhotonilpur, Bardhaman, West Bengal 713103",Chhotonilpur,23.225666699999998,87.8683033,ChIJJdU1mTBJ-DkRmZxkDUm0e9s,https://www.google.com/maps/place/?q=place_id:ChIJJdU1mTBJ-DkRmZxkDUm0e9s,part_319,2026-09-20 20:17:16
COMMERCE INSTITUTION,Commerce and CA Coaching,Coaching Center,"Coaching Center, Private Tutor, Tutoring service",713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 97498 57968,N/A,5.0,,"SANKHARI PUKUR, 2No, near Vivekananda Sangha, Perbirhata, Bardhaman, West Bengal 713103",Perbirhata,23.232308699999997,87.8635382,ChIJ949rbkBJ-DkRSTqW-yuRBfI,https://www.google.com/maps/place/?q=place_id:ChIJ949rbkBJ-DkRSTqW-yuRBfI,part_319,2026-09-20 20:17:17
Chartered Commerce - Best Commerce Coaching In Saguna More Patna for 11th 12th B.com & CA,Commerce and CA Coaching,Coaching Center,"Coaching Center, Education center, Educational institution, Studying center",713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 91170 11102,https://charteredcommerce.org/commerce-coaching-in-saguna-more-patna/,4.7,,"Gyan Ganga ltd, Vishal Bhawan, Bailey Rd, Saguna More, Kaliket Nagar, Patna, Bihar 801503","Saguna More, Kaliket Nagar",25.622271599999998,85.042284,ChIJL0Pku-hX7TkRTKVbtzb9SZY,https://www.google.com/maps/place/?q=place_id:ChIJL0Pku-hX7TkRTKVbtzb9SZY,part_319,2026-09-20 20:17:17
Mission Success coaching center,Commerce and CA Coaching,Coaching Center,Coaching Center,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 62967 07472,https://missionsuccess.co.in/,4.9,,"Bus stand, road, near Bus stand, Moukota, Guskhara, West Bengal 713128",Moukota,23.489895,87.7454717,ChIJE3NDOlbP-TkRnKzpzrML1yE,https://www.google.com/maps/place/?q=place_id:ChIJE3NDOlbP-TkRnKzpzrML1yE,part_319,2026-09-20 20:17:17
